SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Single Family Residential,83 El Vanada Rd,REDWOOD CITY,CA,94062,1388000,3,2,REDWOOD CITY,1580,10780,1936,86,878,,Active,,,MLSListings,ML81744730,N,Y,37.4759469,-122.2762218
MLS Listing,,Single Family Residential,4021 Nugget Ln,Placerville,CA,95667,629900,4,3,Greater Placerville,2719,266979,1987,87,,,Active,,,MetroList,19018330,N,Y,38.713282,-120.760882
MLS Listing,,Single Family Residential,4985 Bay View Cir,Stockton,CA,95219,489000,3,2.5,Far Northwest Stockton,2689,10376,2001,87,,158,Active,,,MetroList,19018766,N,Y,37.9814483,-121.3653086
MLS Listing,,Condo/Co-op,222 Broadway #708,Oakland,CA,94607,1048000,2,2,Oakland,1286,,2009,87,815,949,Active,,,San Francisco MLS,482863,N,Y,37.7962472,-122.275671
MLS Listing,,Condo/Co-op,688 Cassaday Ct,SAN JOSE,CA,95136,518888,2,2,SAN JOSE,912,3343,1988,89,569,460,Active,,,MLSListings,ML81744150,N,Y,37.2738943,-121.8588653
MLS Listing,,Single Family Residential,9642 Hahn Way,Elk Grove,CA,95757,669000,5,3,Elk Grove,3707,8555,2006,93,,57,Active,,,MetroList,19017401,N,Y,38.4063827,-121.4436092
MLS Listing,,Multi-Family (2-4 Unit),976 Acacia Ave,Clovis,CA,93612,419500,8,4,Clovis,2460,7000,1999,93,171,,Active,,,FRESNOMLS,519887,N,Y,36.8181775,-119.6924434
MLS Listing,,Single Family Residential,5301 Weeping Willow Ct,Shingle Springs,CA,95682,1750000,4,4,Shingle Springs,5653,243936,2010,94,,60,Active,,,MetroList,19016329,N,Y,38.642104,-120.945491
MLS Listing,,Multi-Family (2-4 Unit),19 E Saginaw Way,Fresno,CA,93704,397999,12,6,Fresno,3840,9900,1970,94,104,,Active,,,FRESNOMLS,519830,N,Y,36.7878079,-119.8125729
MLS Listing,,Single Family Residential,14927 Lago Dr,Rancho Murieta,CA,95683,474000,3,2.5,Rancho Murieta,2068,2500,1988,95,,143,Active,,,MetroList,19016945,N,Y,38.5021176,-121.099138
