RegionName,State,Metro,CountyName,SizeRank,Jan-19,Feb-19,Mar-19,Apr-19,May-19
Calhoun,GA,Calhoun,Gordon County,1467,169900,168745,166995,169900,169900
Hanover Park,IL,Chicago-Naperville-Elgin,DuPage County,1468,195000,194650,204900,209999,210000
Alamogordo,NM,Alamogordo,Otero County,1469,159500,159900,159900,169900,172250
Henderson,KY,Evansville,Henderson County,1470,152950,149900,154900,164500,169500
Northglenn,CO,Denver-Aurora-Lakewood,Adams County,1471,335000,335000,349900,345000,344900
Friendswood,TX,Houston-The Woodlands-Sugar Land,Galveston County,1472,365000,369000,375000,379900,394995
Middletown,DE,Philadelphia-Camden-Wilmington,New Castle County,1473,355000,357900,363450,359900,360000
Ronkonkoma,NY,New York-Newark-Jersey City,Suffolk County,1474,349450,349945,349999,359990,360000
Franconia,VA,Washington-Arlington-Alexandria,Fairfax County,1475,477000,489975,490000,528500,495000
Mount Airy,NC,Mount Airy,Surry County,1476,139900,139000,149900,155750,159500
Lincoln Park,MI,Detroit-Warren-Dearborn,Wayne County,1477,85250,86900,89900,88950,90000
Rohnert Park,CA,Santa Rosa,Sonoma County,1478,499000,529000,549900,569500,568000
Reynoldsburg,OH,Columbus,Franklin County,1479,174900,183500,186950,195000,195000
Hilton Head Island,SC,Hilton Head Island-Bluffton-Beaufort,Beaufort County,1480,472250,459000,469000,471000,479000
Penfield,NY,Rochester,Monroe County,1481,239900,219900,239900,255000,269500
Greenfield,WI,Milwaukee-Waukesha-West Allis,Milwaukee County,1482,175500,184000,179950,190000,189900
Northport,AL,Tuscaloosa,Tuscaloosa County,1483,229512.5,229900,229512.5,229900,225000
Brighton,NY,Rochester,Monroe County,1484,204950,209900,209900,205000,214450
Huber Heights,OH,Dayton,Montgomery County,1485,133700,144900,137950,139900,141250
Moorpark,CA,Oxnard-Thousand Oaks-Ventura,Ventura County,1486,695000,699000,699900,699900,7.00E+05
Braintree,MA,Boston-Cambridge-Newton,Norfolk County,1487,439900,439900,459900,522500,529900
Copperas Cove,TX,Killeen-Temple,Coryell County,1488,162900,168957.5,169000,166000,168182.5
District Heights,MD,Washington-Arlington-Alexandria,Prince Georges County,1489,229450,239250,247925,249900,245000
Port Angeles,WA,Port Angeles,Clallam County,1490,277000,270500,279950,299000,299999
McMinnville,OR,Portland-Vancouver-Hillsboro,Yamhill County,1491,399900,418700,389999,387900,389000
Roy,UT,Ogden-Clearfield,Weber County,1492,258000,254950,259900,265000,267950
Lancaster,NY,Buffalo-Cheektowaga-Niagara Falls,Erie County,1493,236388.5,239900,232500,242900,249900
Converse,TX,San Antonio-New Braunfels,Bexar County,1494,214900,209999.5,210999,210749.5,210999
Trumbull,CT,Bridgeport-Stamford-Norwalk,Fairfield County,1495,399900,409900,419000,435000,429000
Claremont,CA,Los Angeles-Long Beach-Anaheim,Los Angeles County,1496,707000,699650,695000,726450,707450
Altadena,CA,Los Angeles-Long Beach-Anaheim,Los Angeles County,1497,850000,893500,893500,889000,898500
Arcadia,FL,Arcadia,De Soto County,1498,198200,187950,189900,188341,189450
East Meadow,NY,New York-Newark-Jersey City,Nassau County,1499,549000,539000,539000,540000,549000
